Species,Trap,Latitude,Longitude,Date_month,NumMosquitos,WnvPresent,Tmax,Tmin,Tavg,DewPoint,WetBulb,PrecipTotal,Tmax_lag1,Tmax_lag2,Tmax_lag3,Tmax_lag4,Tmax_lag5,Tmax_lag6,Tmax_lag7,Tmin_lag1,Tmin_lag2,Tmin_lag3,Tmin_lag4,Tmin_lag5,Tmin_lag6,Tmin_lag7,Tavg_lag1,Tavg_lag2,Tavg_lag3,Tavg_lag4,Tavg_lag5,Tavg_lag6,Tavg_lag7,DewPoint_lag1,DewPoint_lag2,DewPoint_lag3,DewPoint_lag4,DewPoint_lag5,DewPoint_lag6,DewPoint_lag7,WetBulb_lag1,WetBulb_lag2,WetBulb_lag3,WetBulb_lag4,WetBulb_lag5,WetBulb_lag6,WetBulb_lag7,PrecipTotal_lag1,PrecipTotal_lag2,PrecipTotal_lag3,PrecipTotal_lag4,PrecipTotal_lag5,PrecipTotal_lag6,PrecipTotal_lag7,Date_week
CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,5,1,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
CULEX RESTUANS,T086,41.688324,-87.676709,5,1,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
CULEX PIPIENS,T096,41.731922,-87.677512,5,1,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
CULEX RESTUANS,T096,41.731922,-87.677512,5,5,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
CULEX RESTUANS,T046,41.891118,-87.654491,5,1,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,5,1,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
CULEX RESTUANS,T002,41.95469,-87.800991,5,1,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
CULEX RESTUANS,T007,41.994991,-87.769279,5,1,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
CULEX PIPIENS/RESTUANS,T143,41.999129,-87.795585,5,1,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
CULEX PIPIENS/RESTUANS,T148,42.01743,-87.687769,5,1,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,5,1,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
CULEX RESTUANS,T015,41.974089,-87.824812,5,4,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
CULEX RESTUANS,T159,41.732984,-87.649642,5,1,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,5,1,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
CULEX RESTUANS,T129,41.891126,-87.61156,5,2,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
CULEX PIPIENS,T048,41.867108,-87.654224,6,2,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,6,1,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX RESTUANS,T048,41.867108,-87.654224,6,1,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX PIPIENS/RESTUANS,T092,41.869216,-87.627561,6,1,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX RESTUANS,T049,41.896282,-87.655232,6,2,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX RESTUANS,T033,41.906638,-87.701431,6,3,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX RESTUANS,T153,41.907645,-87.760886,6,3,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX PIPIENS/RESTUANS,T149,41.994469,-87.667736,6,1,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX PIPIENS,T045,41.9216,-87.666455,6,1,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,6,1,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX RESTUANS,T045,41.9216,-87.666455,6,2,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX PIPIENS/RESTUANS,T094,41.720848,-87.666014,6,2,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX RESTUANS,T150,42.006858,-87.675919,6,2,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX RESTUANS,T154,41.918705,-87.752329,6,1,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,6,1,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX RESTUANS,T050,41.919343,-87.694259,6,1,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX RESTUANS,T054,41.921965,-87.632085,6,3,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX RESTUANS,T086,41.688324,-87.676709,6,4,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX PIPIENS,T096,41.731922,-87.677512,6,1,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX PIPIENS/RESTUANS,T096,41.731922,-87.677512,6,1,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX RESTUANS,T096,41.731922,-87.677512,6,1,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX RESTUANS,T152,41.846075,-87.716277,6,1,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX RESTUANS,T046,41.891118,-87.654491,6,1,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX RESTUANS,T147,41.932094,-87.700117,6,1,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,6,3,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX RESTUANS,T158,41.682587,-87.707973,6,8,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX RESTUANS,T011,41.944869,-87.832763,6,1,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX PIPIENS/RESTUANS,T218,41.948167,-87.730698,6,2,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX RESTUANS,T218,41.948167,-87.730698,6,1,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX RESTUANS,T019,41.94983,-87.698457,6,1,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX PIPIENS/RESTUANS,T142,41.953067,-87.776792,6,1,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
CULEX RESTUANS,T142,41.953067,-87.776792,6,3,0,63.5,49.0,56.5,47.5,51.5,0.345,71.5,77.5,81.0,85.5,79.0,88.0,88.0,57.0,63.0,66.5,64.5,66.5,68.0,62.5,64.5,70.5,74.0,75.5,73.0,78.5,75.5,57.5,60.0,62.5,63.0,61.0,57.5,58.5,60.0,63.5,67.0,66.5,65.5,65.5,65.5,0.35,0.165,0.02,0.2,0.27,0.0,0.0,23
