saleprice,street,neighborhood_Blmngtn,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_GrnHill,neighborhood_IDOTRR,neighborhood_Landmrk,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,condition_1_FeedArt,condition_1_Pos,condition_1_Rail,overall_qual,mas_vnr_type_BrkFace,mas_vnr_type_Stone,exter_qual,foundation,bsmt_qual,bsmt_exposure,heating_qc,central_air,electrical,functional,fireplace_qu,garage_finish,paved_drive,sale_type_COD,sale_type_New,sale_type_Others,lot_frontage_imputed,year_built,year_remod/add,mas_vnr_area,bsmtfin_sf_1,total_bsmt_sf,gr_liv_area,full_bath,garage_area,wood_deck_sf,open_porch_sf
278000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,2,1,4,1,4,1,1,1,5,3,1,0,0,0,40.0,2000,2000,0.0,1158.0,1501.0,1659,2,499.0,212,59
344133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,2,1,5,3,4,1,1,1,4,3,1,0,1,0,103.0,2005,2006,0.0,0.0,1209.0,2253,2,575.0,243,142
185000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,4,1,4,1,1,1,0,3,1,0,0,0,64.52388752740802,1992,2007,0.0,935.0,1168.0,1187,2,420.0,483,21
145000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,3,2,2,0,1,1,0,3,1,0,0,0,100.0,1955,1955,0.0,1056.0,1056.0,1056,1,572.0,264,0
187500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,3,1,4,1,1,1,3,2,1,0,0,0,92.0,1961,1961,3.0,1312.0,1453.0,1453,2,530.0,0,49
138500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,1,0,3,1,4,1,1,1,4,1,1,0,0,0,65.0,1965,2009,0.0,553.0,894.0,894,1,336.0,416,144
198000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,3,1,4,1,1,0,4,1,1,0,0,0,72.47277757228645,1937,1995,0.0,606.0,942.0,1938,2,240.0,0,40
119600,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,3,1,1,0,1,1,0,0,0,0,0,0,75.0,1895,2006,0.0,0.0,957.0,1991,2,0.0,0,0
122900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,3,2,4,1,1,1,1,1,1,0,0,0,60.0,1949,2006,0.0,0.0,672.0,924,1,576.0,0,0
278000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,2,1,4,1,2,1,1,1,4,3,1,0,0,0,80.0,1981,1981,0.0,1104.0,2524.0,2524,2,542.0,474,120
230000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,4,1,1,1,1,1,4,1,1,0,0,0,71.8799496966452,1929,1950,0.0,0.0,792.0,1517,1,400.0,0,0
270000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,2,1,4,3,4,1,1,1,4,3,1,0,0,0,30.0,1995,1996,0.0,437.0,1494.0,1494,1,481.0,0,30
125000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,3,1,2,1,1,1,0,1,0,0,0,0,60.0,1952,1952,0.0,441.0,948.0,948,1,410.0,0,48
297000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,2,1,5,4,4,1,1,1,4,2,1,0,0,0,79.0,2007,2008,336.0,1288.0,1705.0,1718,2,826.0,208,44
113500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,4,4,1,1,1,1,4,2,1,0,0,0,80.0,1958,1958,82.0,0.0,160.0,1142,1,384.0,0,28
127000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,3,1,4,1,1,1,3,2,1,0,0,0,41.0,1977,1977,0.0,548.0,757.0,1475,2,336.0,104,26
190000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,4,1,4,1,1,1,3,2,1,1,0,0,105.0,1977,1977,480.0,705.0,1844.0,1844,2,546.0,0,122
175500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,3,1,1,1,1,1,3,1,1,0,0,0,80.0,1973,1973,320.0,916.0,1242.0,1242,1,528.0,0,0
146000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,4,1,4,1,1,1,0,1,1,0,0,0,60.0,1994,1994,0.0,420.0,990.0,990,1,384.0,256,0
147500,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,3,1,3,1,1,1,0,3,1,0,0,0,75.0,1965,1965,0.0,830.0,1256.0,1256,1,276.0,736,68
465000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,3,1,5,4,4,1,1,1,4,3,1,0,1,0,107.0,2006,2006,0.0,1386.0,2076.0,2076,2,850.0,216,229
165500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,4,3,4,1,1,1,3,3,1,0,0,0,70.76809728362937,1978,1978,104.0,1097.0,1097.0,1110,1,602.0,303,30
131500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,3,1,4,0,0,1,0,1,1,0,0,0,81.0,1954,1954,335.0,0.0,1050.0,1795,2,352.0,0,0
129500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,3,1,4,1,1,1,0,1,1,0,0,0,70.0,1965,1965,0.0,906.0,1040.0,1040,1,384.0,0,0
257076,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,1,3,1,2,1,1,1,4,3,1,0,0,0,100.0,1935,1950,40.0,210.0,608.0,1873,1,786.0,0,0
117000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,3,1,4,1,1,0,0,1,1,0,0,0,60.0,1941,1960,0.0,408.0,984.0,1604,2,660.0,0,68
149000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,4,1,2,1,1,1,4,2,0,0,0,0,60.0,1931,2000,0.0,0.0,776.0,1502,1,270.0,0,0
128000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,3,1,2,1,1,1,0,2,1,0,0,0,80.0,1954,1954,110.0,354.0,1056.0,1063,1,280.0,0,0
155000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,1,2,1,4,1,4,1,1,1,0,2,1,0,0,0,36.0,2003,2004,106.0,0.0,764.0,1626,2,474.0,0,27
166000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,2,1,4,1,4,1,1,1,0,1,1,0,0,0,53.18999697496885,2000,2000,513.0,353.0,756.0,1524,2,440.0,0,32
135000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,3,1,2,1,1,0,3,1,1,0,0,0,65.0,1928,1950,0.0,622.0,1122.0,1981,2,576.0,431,44
250000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,1,0,4,1,2,1,1,1,3,2,1,0,0,0,80.0,1978,1978,184.0,790.0,1392.0,2784,3,564.0,0,112
76000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,3,1,4,1,1,1,0,0,1,0,0,0,21.0,1970,1970,0.0,176.0,546.0,1092,1,0.0,200,26
155000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,3,1,2,1,1,1,4,1,1,0,0,0,75.0,1951,1951,522.0,0.0,216.0,1575,1,400.0,0,0
158000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,1,0,3,1,2,1,1,1,0,3,1,0,0,0,80.0,1969,1969,143.0,371.0,663.0,1352,1,299.0,379,36
149500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,2,1,4,1,4,1,1,1,0,2,1,0,0,0,24.0,2004,2005,0.0,368.0,600.0,1200,2,480.0,0,172
121000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,3,1,2,1,0,1,0,1,1,0,0,0,82.0,1954,1975,0.0,486.0,936.0,936,1,240.0,0,0
136000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,3,1,2,1,0,1,0,3,1,0,0,0,68.0,1953,1953,0.0,85.0,1040.0,1040,1,293.0,0,0
173000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,4,1,3,1,1,1,3,3,1,0,0,0,80.31324279637381,1996,1996,0.0,138.0,916.0,1636,2,386.0,168,84
290000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,2,1,4,1,4,1,1,1,4,3,1,0,0,0,92.0,1999,2007,348.0,524.0,1152.0,2270,2,671.0,132,57
303477,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,2,1,4,3,4,1,1,1,4,3,1,0,1,0,75.0,2007,2007,0.0,64.0,1184.0,2610,2,550.0,208,364
270000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,4,4,3,1,1,1,3,2,1,0,0,0,89.8505440979203,1977,2001,0.0,1092.0,1420.0,1483,1,690.0,496,0
122250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,3,1,3,0,0,1,4,1,0,0,0,0,81.0,1920,1950,0.0,360.0,936.0,1740,1,225.0,0,0
153000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,3,1,3,1,0,1,0,1,1,0,0,0,70.0,1955,1955,0.0,172.0,1382.0,1382,1,350.0,280,0
147000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,1,4,1,4,1,1,1,0,0,1,0,1,0,70.0,2007,2007,0.0,206.0,1120.0,1120,1,0.0,0,30
148500,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,4,1,2,1,1,1,4,1,1,0,0,0,63.0,1930,1995,0.0,246.0,531.0,1098,1,216.0,0,0
130000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,2,1,4,1,4,1,1,0,0,1,1,0,0,0,32.0,2004,2004,117.0,0.0,976.0,1708,2,380.0,0,40
372000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,1,3,1,5,4,4,1,1,1,4,3,1,0,0,0,94.0,2006,2006,510.0,0.0,1802.0,1802,2,843.0,158,105
213490,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,2,1,4,4,4,1,1,1,4,3,1,0,0,0,43.0,2005,2005,145.0,16.0,1362.0,1506,2,440.0,142,20
308030,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,2,1,4,4,4,1,1,1,3,2,1,0,0,1,44.0,2009,2010,96.0,1346.0,1508.0,1508,1,572.0,0,0
300000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,2,1,5,2,4,1,1,1,0,3,1,0,0,0,103.49443310534947,1996,1997,668.0,700.0,1840.0,2032,3,786.0,0,46
159500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,3,2,4,1,1,1,2,3,1,0,0,0,79.0,1959,1959,0.0,655.0,655.0,1194,1,539.0,0,0
137500,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,2,1,4,1,4,1,1,0,0,1,1,0,0,0,24.0,2004,2004,50.0,0.0,970.0,1709,2,380.0,0,40
232000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0,2,1,4,3,4,1,1,1,0,2,1,0,0,0,73.0,2005,2005,228.0,0.0,1616.0,1616,2,834.0,208,59
93850,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,2,0,3,1,2,1,1,1,0,1,0,0,0,0,57.136257291673346,1930,1950,0.0,0.0,768.0,768,1,440.0,0,0
105000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,1,0,3,1,1,0,0,0,4,1,0,0,0,0,88.90142509199222,1924,1950,65.0,0.0,872.0,872,1,322.0,0,0
68500,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,3,1,1,0,1,1,0,1,1,0,0,0,60.0,1927,1950,0.0,0.0,520.0,520,1,240.0,49,0
154300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,1,0,3,1,2,1,0,1,0,1,1,0,0,0,80.0,1960,1960,361.0,443.0,1105.0,2274,2,480.0,0,0
129850,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,2,0,3,1,4,1,1,1,0,0,0,0,0,0,50.0,1925,2003,0.0,0.0,936.0,1601,2,0.0,0,0
114000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,3,1,4,1,1,1,0,1,1,0,0,0,35.0,1910,1950,0.0,168.0,616.0,1232,1,480.0,280,0
501837,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,1,3,1,5,1,4,1,1,1,4,3,1,0,1,0,63.0,2008,2009,748.0,1904.0,2216.0,2234,2,1166.0,0,60
153900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,3,2,3,1,1,1,4,1,1,0,0,0,100.0,1915,1950,0.0,0.0,876.0,1416,1,720.0,418,0
130000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,3,1,3,1,1,1,0,1,1,0,0,0,60.0,1971,2006,0.0,240.0,864.0,864,1,576.0,200,0
160500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,1,5,1,4,1,1,1,0,2,1,0,0,0,32.0,1997,1997,197.0,864.0,1189.0,1189,2,392.0,0,122
310090,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,1,0,3,1,5,1,4,1,1,1,4,2,1,0,1,0,48.0,2006,2006,572.0,415.0,1666.0,1666,2,575.0,228,75
184900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,2,1,4,1,4,1,1,1,0,2,1,0,0,0,67.0,2003,2003,0.0,833.0,1176.0,1200,2,555.0,0,41
132000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,4,1,2,1,1,1,0,1,1,0,0,0,70.0,1956,2000,0.0,377.0,928.0,928,1,252.0,261,0
163000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,1,0,4,2,2,1,1,1,2,2,1,0,0,0,80.0,1969,1969,128.0,553.0,1288.0,1336,2,502.0,312,11
155000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0,2,1,4,3,4,1,1,1,0,2,1,0,0,1,30.0,2004,2004,120.0,280.0,600.0,1200,2,480.0,0,172
183000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,3,3,3,1,1,1,0,2,1,0,0,0,80.18488982595295,1969,1969,0.0,828.0,1427.0,1427,2,516.0,0,0
211000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,2,1,4,2,4,1,1,0,3,2,1,0,0,0,82.34540681043474,1996,2002,254.0,762.0,860.0,1992,2,608.0,225,32
184000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,0,0,2,1,4,1,4,1,1,1,0,2,1,0,0,0,70.0,1994,1994,0.0,36.0,754.0,1540,2,495.0,140,32
118858,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,2,1,1,1,0,1,1,0,0,0,64.0,1979,1979,0.0,0.0,0.0,1535,2,400.0,0,0
180500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,3,3,2,1,1,1,4,2,1,0,0,0,85.24496483915944,1964,1964,86.0,1014.0,1152.0,1152,1,484.0,227,0
